S1
S2
S3
S4
S18
S19
S5
S6
S7
S8
S9
S10
S11
S12
S13
S14
S15
S16
S17
C5
C6
C1
C2
C3
C7
C8
C4
B9
B10
B11
B12
B1
B2
B17
B3
B4
B18
B5
B6
B19
B13
B14
B21
B22
B15
B16
B23
B24
B20
B7
B8
W1
W5
W29
W33
W6
W7
W42
W8
W9
W10
W43
W11
W12
W13
W14
W34
W35
W2
W30
W15
W16
W72
W17
W73
W18
W74
W75
W44
W45
W46
W47
W36
W48
W49
W50
W76
W77
W78
W19
W20
W31
W3
W37
W38
W21
W22
W51
W23
W24
W25
W52
W26
W27
W39
W40
W32
W4
W28
W53
W54
W55
W56
W79
W80
W81
W82
W57
W58
W41
W59
W60
W83
W61
W62
W63
W84
W64
W65
W66
W67
W68
W69
W70
W71
