Beam ID,B15
Beam Length,445.843455929048
Beam b,40
Beam h,65
Beam Volume,1.05519298541554
Beam Connections,B5,B16,B23,C21,C29,B16,B23,B5,S2
Beam ID,B16
Beam Length,594.248527603981
Beam b,40
Beam h,65
Beam Volume,1.44104617177037
Beam Connections,B15,B5,B6,B19,C29,C30,B15,B19,B5,B6,S1
Beam ID,B17
Beam Length,448
Beam b,40
Beam h,65
Beam Volume,1.06080000000001
Beam Connections,B27,B3,B18,C26,C27,B18,B27,B3,S5
Beam ID,B18
Beam Length,592.091983533031
Beam b,40
Beam h,65
Beam Volume,1.43543915718589
Beam Connections,B17,B3,B4,B21,C27,C28,B17,B21,B3,B4,S7
Beam ID,B19
Beam Length,396.165599914667
Beam b,40
Beam h,65
Beam Volume,0.926030559778143
Beam Connections,B16,B6,B20,C30,B16,B20,B6,C9,S15
Beam ID,B20
Beam Length,396.165603844882
Beam b,40
Beam h,65
Beam Volume,0.926030569996703
Beam Connections,B19,B41,B19,C9,C10,B41,S15
Beam ID,B21
Beam Length,396.165599914667
Beam b,40
Beam h,65
Beam Volume,0.926030559778143
Beam Connections,B18,B4,B22,C28,C8,B18,B22,B4,S15
Beam ID,B22
Beam Length,396.165603844882
Beam b,40
Beam h,65
Beam Volume,0.926030569996701
Beam Connections,B21,B42,C7,C8,B21,B42,S15
Beam ID,B23
Beam Length,276.809895746336
Beam b,40
Beam h,65
Beam Volume,0.56370572894048
Beam Connections,B15,B11,B24,C21,C22,B15,B24,B11,S2
Beam ID,B24
Beam Length,302.469298930644
Beam b,40
Beam h,65
Beam Volume,0.682420177219682
Beam Connections,B23,B11,B44,B25,C22,C23,B23,B25,B44,B11,S3
Beam ID,B25
Beam Length,534.509089840073
Beam b,40
Beam h,65
Beam Volume,1.2857236335842
Beam Connections,B44,B24,B43,B26,C23,C24,B24,B26,B43,B44,S4
Beam ID,B26
Beam Length,301.840688586207
Beam b,40
Beam h,65
Beam Volume,0.680785790324147
Beam Connections,B43,B25,B12,B27,C24,C25,B25,B27,B43,B12,S6
Beam ID,B27
Beam Length,277.82187810659
Beam b,40
Beam h,65
Beam Volume,0.566336883077141
Beam Connections,B26,B12,B17,C25,C26,B17,B26,B12,S5
Beam ID,B43
Beam Length,425.843455929049
Beam b,40
Beam h,70
Beam Volume,1.02436167660134
Beam Connections,B25,B26,W3,W3,W6,C24,B25,B26,S4,S6,S16
Beam ID,B44
Beam Length,425.843455929048
Beam b,40
Beam h,70
Beam Volume,1.02436167660134
Beam Connections,B24,B25,W3,W3,W13,C23,B24,B25,S3,S4,S16
Beam ID,B11
Beam Length,425.843455929048
Beam b,40
Beam h,60
Beam Volume,0.878024294229721
Beam Connections,B23,B24,W3,W1,W3,C22,B23,B24,B5,S2,S3,S16
Beam ID,B12
Beam Length,428
Beam b,40
Beam h,60
Beam Volume,0.878534259655483
Beam Connections,B26,B27,B3,W3,W4,C25,B26,B27,B3,S5,S6
Beam ID,B3
Beam Length,278.205485935296
Beam b,40
Beam h,40
Beam Volume,0.348821891233511
Beam Connections,B17,B18,W4,W3,W4,C27,B17,B18,B12,S5,S7,S16
Beam ID,B4
Beam Length,278.205485935296
Beam b,40
Beam h,40
Beam Volume,0.349128777496476
Beam Connections,B18,B21,W4,W4,W5,C28,B18,B21,S7,S15
Beam ID,B5
Beam Length,276.809895746335
Beam b,40
Beam h,40
Beam Volume,0.346895833194142
Beam Connections,B15,B16,W1,W1,W3,C29,B15,B16,B11,S1,S2
Beam ID,B6
Beam Length,276.809895746334
Beam b,40
Beam h,40
Beam Volume,0.346895833194138
Beam Connections,B16,B19,W1,W1,W2,C30,B16,B19,S1,S15
Beam ID,B1
Beam Length,534.509089840073
Beam b,30
Beam h,40
Beam Volume,0.593871095714806
Beam Connections,W2,W5,S15,S16
Beam ID,B28
Beam Length,445.843455929048
Beam b,40
Beam h,65
Beam Volume,1.05519298541554
Beam Connections,B9,B29,B36,C31,C39,B29,B36,B9,S9
Beam ID,B29
Beam Length,594.248527603981
Beam b,40
Beam h,65
Beam Volume,1.44104617177036
Beam Connections,B28,B9,B10,B32,C39,C40,B28,B32,B9,B10,S8
Beam ID,B30
Beam Length,448
Beam b,40
Beam h,65
Beam Volume,1.06080000000001
Beam Connections,B40,B7,B31,C36,C37,B31,B40,B7,S12
Beam ID,B31
Beam Length,592.091983533031
Beam b,40
Beam h,65
Beam Volume,1.43543915718589
Beam Connections,B30,B7,B8,B34,C37,C38,B30,B34,B7,B8,S14
Beam ID,B32
Beam Length,396.165599914667
Beam b,40
Beam h,65
Beam Volume,0.926030559778143
Beam Connections,B29,B10,B33,C40,B29,B33,B10,C19,S15
Beam ID,B33
Beam Length,396.165603844882
Beam b,40
Beam h,65
Beam Volume,0.926030569996703
Beam Connections,B32,B41,B32,C19,C20,B41,S15
Beam ID,B34
Beam Length,396.165599914667
Beam b,40
Beam h,65
Beam Volume,0.926030559778143
Beam Connections,B31,B8,B35,C38,C18,B31,B35,B8,S15
Beam ID,B35
Beam Length,396.165603844882
Beam b,40
Beam h,65
Beam Volume,0.926030569996701
Beam Connections,B34,B42,C17,C18,B34,B42,S15
Beam ID,B36
Beam Length,276.809895746336
Beam b,40
Beam h,65
Beam Volume,0.56370572894048
Beam Connections,B28,B13,B37,C31,C32,B28,B37,B13,S9
Beam ID,B37
Beam Length,302.469298930644
Beam b,40
Beam h,65
Beam Volume,0.682420177219682
Beam Connections,B36,B13,B46,B38,C32,C33,B36,B38,B46,B13,S10
Beam ID,B38
Beam Length,534.509089840073
Beam b,40
Beam h,65
Beam Volume,1.2857236335842
Beam Connections,B46,B37,B45,B39,C33,C34,B37,B39,B45,B46,S11
Beam ID,B39
Beam Length,301.840688586207
Beam b,40
Beam h,65
Beam Volume,0.680785790324147
Beam Connections,B45,B38,B14,B40,C34,C35,B38,B40,B45,B14,S13
Beam ID,B40
Beam Length,277.82187810659
Beam b,40
Beam h,65
Beam Volume,0.566336883077141
Beam Connections,B39,B14,B30,C35,C36,B30,B39,S12
Beam ID,B45
Beam Length,425.843455929049
Beam b,40
Beam h,70
Beam Volume,1.02436167660134
Beam Connections,B38,B39,W9,W9,W12,C34,B38,B39,S11,S13,S17
Beam ID,B46
Beam Length,425.843455929048
Beam b,40
Beam h,70
Beam Volume,1.02436167660134
Beam Connections,B37,B38,W9,W9,W15,C33,B37,B38,S10,S11,S17
Beam ID,B13
Beam Length,425.843455929048
Beam b,40
Beam h,60
Beam Volume,0.878024294229721
Beam Connections,B36,B37,W9,W7,W9,C32,B36,B37,B9,S9,S10,S17
Beam ID,B14
Beam Length,428
Beam b,40
Beam h,60
Beam Volume,0.878994589049924
Beam Connections,B39,B40,B7,W9,W10,C35,B39,B7,S12,S13,S14,S17
Beam ID,B7
Beam Length,278.205485935296
Beam b,40
Beam h,40
Beam Volume,0.348515004970547
Beam Connections,B30,B31,W10,W9,W10,C37,B30,B31,B14,S12,S14,S17
Beam ID,B8
Beam Length,278.205485935296
Beam b,40
Beam h,40
Beam Volume,0.349128777496476
Beam Connections,B31,B34,W10,W10,W11,C38,B31,B34,S14,S15
Beam ID,B9
Beam Length,276.809895746335
Beam b,40
Beam h,40
Beam Volume,0.346895833194142
Beam Connections,B28,B29,W7,W7,W9,C39,B28,B29,B13,S8,S9
Beam ID,B10
Beam Length,276.809895746334
Beam b,40
Beam h,40
Beam Volume,0.346895833194141
Beam Connections,B29,B32,W7,W7,W8,C40,B29,B32,S8,S15
Beam ID,B2
Beam Length,534.509089840073
Beam b,30
Beam h,40
Beam Volume,0.593871095714805
Beam Connections,W8,W11,S15,S17
Beam ID,B41
Beam Length,395.782475502381
Beam b,40
Beam h,65
Beam Volume,0.925034436306199
Beam Connections,B20,B33,B20,C10,B33,C20,S15
Beam ID,B42
Beam Length,395.782475502382
Beam b,40
Beam h,65
Beam Volume,0.925034436306201
Beam Connections,B22,B35,C7,B22,C17,B35,S15
