Node ID,Element ID,Dim 1,Dim 2,Dim 3,Volume,Cross-section dimensions are too small,Cross-section dimensions are too big,Element too slender (long for its cross-section),Element with too wide a span,Element difficult to execute on-site,Element too expensive to execute,Element's position in space is not optimal,Redundant element,Other,Element Points
0,B1,430.05291005291,20,50,0.390052910052916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,B2,160,20,50,0.120000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,B3,289.94708994709,20,50,0.249947089947095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,B4,352.39417989418,20,50,0.299894179894186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,B5,392.420634920635,20,50,0.329920634920642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,B6,190.10582010582,20,50,0.160105820105822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,B17,469.920634920635,20,60,0.503746031746038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,B18,254,20,60,0.25193650793651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,B7,580.15873015873,20,50,0.550158730158742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,B19,489.841269841269,20,60,0.515809523809534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,B20,254,20,60,0.251936507936511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,B8,580.15873015873,20,50,0.550052910052922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,B9,417.34126984127,20,50,0.364841269841277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,B10,492.55291005291,20,50,0.43005291005292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,B11,359.94708994709,20,50,0.329841269841275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,B12,469.894179894179,20,50,0.419894179894186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,B13,266,20,50,0.209947089947093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,B14,194,20,50,0.160079365079345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,B15,204,20,50,0.180105820105823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,B16,409.973544973544,20,50,0.36497354497355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,C16,309.999999999983,30,40,0.37199999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
21,C1,309.999999999983,20.0000000000003,40,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,C7,309.999999999983,30.0000000000002,40,0.37199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,C8,309.999999999983,30.0000000000002,40,0.37199999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
24,C5,309.999999999983,20,65,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,C2,309.999999999983,20,40,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,C9,309.999999999983,30,40,0.371999999999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,C15,309.999999999983,25,80,0.619999999999966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,C14,309.999999999983,22.8571428571428,70,0.495999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,C3,309.999999999983,20.0000000000003,40,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,C10,309.999999999983,29.9999999999996,40,0.37199999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
31,C11,309.999999999983,30.0000000000001,40,0.371999999999979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
32,C6,309.999999999983,20,65,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,C12,309.999999999983,30.0000000000001,40,0.371999999999979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
34,C13,309.999999999983,25.7142857142857,70,0.557999999999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,C4,309.999999999983,20,60,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,S1,24,239.720874294017,239.720874294015,2.82320675233059,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
37,S2,24,319.814828916763,319.814828916763,2.54670241034686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,S3,24,319.814828916763,319.814828916763,2.54759694297473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,S4,24,905.988444302155,905.988444302155,30.469707399009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,S5,24,905.403138711213,905.403138711213,32.1712756529772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,S6,24,262.949841988294,262.949841988294,2.93842559838751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,W1,309.999999999983,20,194.973544973545,1.14683597883591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
43,W2,309.999999999983,20,40.0529100529106,0.310328042328029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,W3,309.999999999983,20,30,0.247999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,W4,309.999999999983,20,110.105820105823,0.620656084656066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
46,W5,309.999999999983,30,769.78835978836,7.43803174603133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,W6,309.999999999983,30,162.460317460317,1.37138095238088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,W7,309.999999999983,30,61.825396825397,0.714476190476153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,W8,309.999999999983,30,769.78835978836,7.15903174603135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,W9,309.999999999983,30,62.4603174603151,0.441380952380906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,W10,309.999999999983,30,162.46031746032,1.3713809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,W11,309.999999999983,30,324.814814814815,2.74177777777762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,W12,309.999999999983,30,424.947089947092,3.81250793650775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,W13,309.999999999983,30,54.8412698412699,0.649523809523774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,W14,309.999999999983,30,520.05291005291,4.55749206349181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,W15,309.999999999983,30,54.9999999999999,0.650999999999963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,W16,309.999999999983,30,424.94708994709,3.81250793650773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,W17,309.999999999983,30,329.78835978836,2.78803174603159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,W18,309.999999999983,30,24.9999999999991,0.371999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,W19,309.999999999983,30,255.000000000001,2.23199999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
