Node ID,Element ID,Dim 1,Dim 2,Dim 3,Volume
0,B21,571.032298463182,30,50,0.811548447694782
1,B22,169.677223152883,30,50,0.224515834729327
2,B23,570.253069114038,30,50,0.810379603671066
3,B1,454.217953945896,20,50,0.42408817426682
4,B2,333.470652022826,20,50,0.309924313347135
5,B3,460.0020402662,20,50,0.440002040266207
6,B4,260,20,50,0.239386772954633
7,B5,324.450506365533,20,50,0.27077999633679
8,B6,319.606213643441,20,50,0.299606213643446
9,B7,210,20,50,0.190407000126345
10,B8,219.504537207597,20,50,0.1795045372076
11,B9,380.662207276657,20,50,0.300662207276662
12,B19,380,25,50,0.424502496214602
13,B10,372.277851518595,20,50,0.339777851518597
14,B11,372.277851518591,20,50,0.339777851518597
15,B20,389.601996971677,25,50,0.449502496214604
16,B12,230,20,50,0.205000000000004
17,B13,340,20,50,0.340000000000007
18,B14,230.000000000001,20,50,0.180389998168394
19,B15,230.000000000001,20,50,0.210000000000004
20,B16,230.000000000001,20,50,0.210000000000004
21,B17,230,20,50,0.210000000000004
22,B18,114.587823224947,20,50,0.0945878232249486
23,C7,299.999999999983,39.9999999999999,80,0.96
24,C8,299.999999999983,39.9999999999998,80,0.96
25,C1,299.999999999983,19.9999999999999,45,0.27
26,C2,299.999999999983,19.9999999999999,45,0.27
27,C10,299.999999999983,33.3333333333333,60,0.599999999999965
28,C11,299.999999999983,33.3333333333331,60,0.599999999999966
29,C9,299.999999999983,26.6666666666667,30,0.239999999999986
30,C6,299.999999999983,20,65,0.39
31,C3,299.999999999983,20,50,0.3
32,C5,299.999999999983,20,60,0.36
33,C4,299.999999999983,20,50,0.3
34,S1,15,338.091039329506,338.091039329506,1.62246827813904
35,S2,15,357.531585396782,357.531585396782,2.11289329982836
36,S3,15,256.849770583616,256.849770583616,1.61498319064822
37,S4,15,84.347325250572,84.347325250572,0.201520880731052
38,S5,15,86.0000208012501,86.00002080125,0.207900000000002
39,S6,15,83.9999890798636,83.9999890798633,0.201600000000003
40,S7,15,82.6052207090038,82.6052207090038,0.207900000000001
41,S8,15,381.304891973709,381.304891973709,2.87390606114346
42,S9,15,169.677229047818,169.677229047818,0.796216261278453
43,S10,15,381.304891973709,381.30489197371,2.87805121473454
44,S11,15,187.436860991132,188.271369133387,0.843003967340541
45,S12,15,484.760985969578,484.710298052518,10.5382312647298
46,S13,15,125.95684439768,125.95684439768,0.390462997436153
47,W1,299.999999999983,20,40.3077262707583,0.301846357624532
48,W2,299.999999999983,20,85.910102597597,0.455460615585556
49,W3,299.999999999983,20,319.968317990528,1.97980990794305
50,W4,299.999999999983,20,476.296501499039,2.85777900899407
51,W5,299.999999999983,20,476,2.85599999999984
52,W6,299.999999999983,20,336,1.95599999999989
53,W7,299.999999999983,20,20.0222789237979,0.0601336735427839
54,W8,299.999999999983,20,355.955240110358,2.07573144066203
55,W9,299.999999999983,20,80.2319142063014,0.421391485237784
56,W17,299.999999999983,10,50.0664211106216,0.120199263331858
57,W10,299.999999999983,20,40.3077411550552,0.18184644693032
58,W11,299.999999999983,20,25.0827978159748,0.210496786895837
59,W12,299.999999999983,20,358.047232883863,2.16328339730305
60,W18,299.999999999983,25,119.082797815975,0.818120983619764
61,W19,299.999999999983,25,120.069430241786,0.994270726813336
62,W20,299.999999999983,25,358.047208076701,2.66660406057511
63,W13,299.999999999983,20,232.528619956363,1.3201717197381
64,W14,299.999999999983,20,350.133864008154,2.1608031840488
65,W15,299.999999999983,20,460.0020402662,2.76001224159704
66,W16,299.999999999983,20,350.133864008156,2.04080318404881
