Node ID,Element ID,Dim 1,Dim 2,Dim 3,Volume
0,B22,911.000986875908,60,60,3.00679352675555
1,B23,818.000791875727,60,60,2.654322229983
2,B24,820,60,60,2.649953986017
3,B25,546.000411875376,60,60,1.67294147863262
4,B26,954.000994375915,60,60,3.13766356980962
5,B34,680.000562500515,70,70,2.93400275062752
6,B35,844.000653750599,70,70,3.74360320337795
7,B36,678.000898125828,70,70,2.92427768123933
8,B27,818.000791875727,60,60,2.64942284283381
9,B28,818.000804375739,60,60,2.64942288770881
10,B29,546.000411875376,60,60,1.67294147863252
11,B30,954.000994375915,60,60,3.13766356980934
12,B31,911.000986875908,60,60,3.0012435428845
13,B15,911.000986875908,40,50,1.66364196388305
14,B16,911.000986875908,40,50,1.66364196388285
15,B17,3527.50346875319,40,50,6.91525690281823
16,B18,3527.50346875319,40,50,6.91525690281852
17,B19,844.00104125096,40,50,1.60800208250193
18,B32,393.500000000001,60,60,1.21701167383903
19,B33,391.500466250427,60,60,1.21701167383906
20,B20,844.001041250961,40,50,1.60800208250194
21,B9,298,25,50,0.363125000000004
22,B10,670.677459586478,25,50,0.797721824483096
23,B14,844.001041250961,35,50,1.40700182218919
24,B21,844.001041250953,40,50,1.60800208250194
25,B1,330,20,50,0.32
26,B2,654.479633070023,20,50,0.656979633070033
27,B11,514.001041250966,25,50,0.605001301563719
28,B3,72,20,50,0.0695000000000012
29,B4,260,20,50,0.230000000000005
30,B12,514.001041250967,25,50,0.605001301563715
31,B13,844.001041250961,25,50,1.00500130156371
32,B5,168.000288750264,20,50,0.148000288750265
33,B6,124.062795093981,20,50,0.121562795093984
34,B7,62,20,50,0.052000000000001
35,B8,253.562893844072,20,50,0.228562893844076
36,C3,349.999999999983,60,80,1.68
37,C4,349.999999999983,60.0000000000002,80,1.68
38,C5,349.999999999983,60,80,1.68
39,C6,349.999999999983,60,80,1.68
40,C7,349.999999999983,60,80,1.68
41,C8,349.999999999983,60,80,1.68
42,C9,349.999999999983,60.0000000000005,80,1.68
43,C10,349.999999999983,60.0000000000005,80,1.68
44,C11,349.999999999983,59.9999999999998,80,1.68
45,C12,349.999999999983,60,80,1.68
46,C13,349.999999999983,70.0000000000002,80,1.96
47,C14,349.999999999983,70.0000000000002,80,1.96
48,C15,349.999999999983,70.0000000000004,80,1.96
49,C16,349.999999999983,70.0000000000002,80,1.96
50,C1,349.999999999983,40.0000000000001,80,1.12
51,C2,349.999999999983,39.9999999999999,80,1.12
52,S1,20,164.415283671454,163.415283563881,2.2672852377828
53,S2,20,206.328926604757,206.328926604757,2.89440374850347
54,S3,20,456.403688194641,456.403688194641,6.7359794896975
55,S4,20,691.575575611857,691.028377566403,56.2658298011465
56,S5,20,690.682108076487,690.130673573389,56.1182167388331
57,S6,20,837.539110751394,837.539110751394,14.086114111702
58,S7,20,837.998774140101,837.862905088464,13.6268267063766
59,S8,20,327.605928065096,327.266877682308,5.870318609479
60,S9,20,330.745214990699,330.745214990699,2.93304807658626
61,S10,20,249.862223137276,249.862223137277,1.52680489070508
62,S11,20,70.7295004566076,70.7295004566076,0.227699999999996
63,S12,20,642.476595818871,642.476595818871,11.6586691347096
64,W1,349.999999999983,25,2281.67017793439,19.9646140569249
