Column ID,C5
Column Length,306.999999999983
Column b,25
Column h,85
Column Volume,0.652374999999999
Column Connections,S10
Column ID,C6
Column Length,306.999999999983
Column b,25
Column h,85
Column Volume,0.652374999999999
Column Connections,S9
Column ID,C1
Column Length,306.999999999983
Column b,15
Column h,40
Column Volume,0.1842
Column Connections,B3,B4,S2
Column ID,C2
Column Length,306.999999999983
Column b,15
Column h,40
Column Volume,0.1842
Column Connections,B1,B2,S1
Column ID,C3
Column Length,306.999999999983
Column b,14.9999999999999
Column h,40
Column Volume,0.1842
Column Connections,B5,B6,S3
Column ID,C7
Column Length,306.999999999983
Column b,24.9999999999999
Column h,85
Column Volume,0.652374999999999
Column Connections,S16
Column ID,C8
Column Length,306.999999999983
Column b,25
Column h,85
Column Volume,0.652374999999999
Column Connections,S17
Column ID,C4
Column Length,306.999999999983
Column b,15.0000000000001
Column h,40
Column Volume,0.1842
Column Connections,B7,B8,S4
