Node ID,Dim 1,Dim 2,Dim 3,Volume
W50,300,20,126.023894390382,0.69614336634229
W51,300,20,50,0.24
W52,300,20,251,1.506
W53,300,20,26,0.216
W54,300,20,28,0.228
W55,300,20,33.7983012442726,0.142789807465636
W56,300,20,50,0.24
W104,299.999999999983,15,57.0000000000001,0.256499999999986
W57,299.999999999983,20,44,0.263999999999985
W90,299.999999999983,25,290.749647774066,2.01187235830539
W58,299.999999999983,20,19.9999999999998,0.0599999999999956
W59,299.999999999983,20,26,0.215999999999987
W60,299.999999999983,20,22,0.191999999999989
W61,299.999999999983,20,26,0.215999999999987
